satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC
INTELSAT 28 (IS-28),11016A,0.2335095136038933,83.37556421031971,0.0050786895936658
YAHSAT 1A,11016B,0.9101988718957724,15.690344835459287,1.5783415007982324
SBIRS GEO-1 (USA 230),11019A,0.0369690308009292,3.952636459884677,0.00043068172872
TELSTAR 14R,11021A,0.1992785612500487,59.7958940855718,2.562842513287973
GSAT-8,11022A,0.0544856633528063,4.183909991269062,0.0011220585870531
ST-2,11022B,0.0235363565934187,6.068676660412692,0.4643255286846928
ZHONGXING-10,11026A,0.0085040740430261,0.1444438780828248,0.0003837086541649
SJ-11-03,11030A,0.0012082771897174,0.2942399007456842,0.0017413254890822
GLOBALSTAR M083,11033A,0.0001622479559469,0.0023936127922463,0.0023048855955072
GLOBALSTAR M088,11033B,0.0004123933399761,0.0030949802450459,0.0044414366464626
GLOBALSTAR M091,11033C,4.606443900582035e-05,0.004219508570359,0.0033186306032914
GLOBALSTAR M085,11033D,7.593340869178731e-05,0.0003736535865193,0.0006961347259983
GLOBALSTAR M081,11033E,2.345335058004335e-05,0.0001742375530971,3.527498755333367e-05
