satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC,radial_outlier,in-track_outlier,cross-track_outlier
APRIZESAT 4,09041D,0.0041651981432694,0.2160218774326949,0.001195976384393,0,0,0
NANOSAT 1B,09041E,0.0051950637347371,0.1409804054656895,0.0012709105148094,0,0,0
APRIZESAT 3,09041F,0.0061428780487347,0.7451781707186825,0.0007176652672926,0,0,0
ASIASAT 5,09042A,0.0025079475973361,0.2576724076532035,0.01901756128441395,0,0,1
NAVSTAR 64 (USA 206),09043A,8.664581282247287e-05,0.0948027470575483,0.0014287890480005,0,0,0
JCSAT-12 (JCSAT-RA),09044A,0.012219479341433751,2.771184108792513,0.01901756128441395,1,0,1
OPTUS D3,09044B,0.012219479341433751,25.51350909356357,0.01901756128441395,1,1,1
NIMIQ 5,09050A,0.012219479341433751,93.68799789663154,0.01901756128441395,1,0,1
OCEANSAT-2,09051A,0.00254612150929,0.0075162689050376,0.0032806120687724,0,0,0
SWISSCUBE,09051B,0.0033225286998664,0.0721036264087322,0.0001708298769215,0,0,0
BEESAT-1,09051C,0.0039390113620033,0.1075151121713766,0.0002484669987167,0,0,0
ITUPSAT1,09051E,0.0040383527201197,0.0818636707947006,3.2807686504700126e-05,0,0,0
AMAZONAS 2,09054A,0.012219479341433751,0.911176377307352,0.0004764542925621,1,0,0
COMSATBW-1,09054B,0.012219479341433751,4.333596554785695,0.01901756128441395,1,0,1
WORLDVIEW-2 (WV-2),09055A,0.0023969335852773,0.0026921647068712,0.0016671537304357,0,0,0
DMSP 5D-3 F18 (USA 210),09057A,0.0020728795862101,0.0031603771378036,0.002211817631647,0,0,0
NSS-12,09058A,0.012219479341433751,0.1107761615683939,0.0115285028390811,1,0,0
THOR 6,09058B,0.012219479341433751,12.482498337360216,0.01901756128441395,1,0,1
SMOS,09059A,0.0022257544657306,0.0010578076908562,0.0001273007300799,0,0,0
PROBA-2,09059B,0.0026151055629282,0.0018558532004061,0.0001305149565691,0,0,0
POISK,09060A,0.0003269997449952,2.209453934908034,0.0451886029594013,0,0,0
SJ-11-01,09061A,0.0013106133120361,0.493207541735007,0.000324664177964,0,0,0
COSMOS 2455,09063A,0.0041432804438253,0.0034340780984558,0.0155206718030844,0,0,0
INTELSAT 14 (IS-14),09064A,0.012219479341433751,0.3490451234919897,0.01901756128441395,1,0,1
EUTELSAT 36B,09065A,0.012219479341433751,0.8128162340374332,0.0217033474039841,1,0,0
INTELSAT 15 (IS-15),09067A,0.012219479341433751,0.8491247878580106,0.01901756128441395,1,0,1
WGS F3 (USA 211),09068A,0.012219479341433751,6.112405804413466,0.01901756128441395,1,0,1
YAOGAN-7,09069A,0.0043292259538929,0.070424058509413,2.7868889347782848e-05,0,0,0
COSMOS 2456 [GLONASS-M],09070A,0.0019438123726672,0.0427012475961922,0.0001457538802526,0,0,0
